title,year,km,currency,price,location,link,ratio,model,type
Bmw Serie 1 2.0 120i Active 156cv,2008,107000,U$S,10600,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-916967519-bmw-serie-1-20-120i-active-156cv-2008-_JM#position=1&search_layout=grid&type=item&tracking_id=7053c39e-55a8-43c4-b9dc-291bcd50cf7e,"1,77",120,i
Bmw Serie M 3.0 M3 431cv,2017,12000,U$S,95000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-878189996-bmw-m3-_JM#position=5&search_layout=grid&type=item&tracking_id=71056db2-c4a2-450a-bc98-7ecd0fd27254,"1,77",,
Bmw Serie 1 2.0 120i Active 156cv,2008,98000,U$S,11612,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-904851917-bmw-serie-1-20-120i-active-156cv-2008-_JM#position=41&search_layout=grid&type=item&tracking_id=170d3f83-75bf-4ac6-a8de-6804cea4eee0,"1,76",120,i
Bmw Serie 3 3.0 330i Sportive Steptro.,2007,72000,U$S,15806,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-918393414-bmw-serie-3-30-330i-sportive-steptro-_JM#position=6&search_layout=grid&type=item&tracking_id=33b4574d-1630-47d4-a95d-b6395e4372b8,"1,76",330,i
Bmw Serie 3 2.0 320i Sedan Executive,2010,77000,U$S,14838,Godoy Cruz - Mendoza,https://auto.mercadolibre.com.ar/MLA-913013404-bmw-320i-automatico-2010-77mil-kms-_JM#position=2&search_layout=grid&type=item&tracking_id=4c7d1cd4-42b3-4cc2-95c5-2d8ecca0f372,"1,76",320,i
Bmw Serie 1 2.5 135i Coupe Sportive 306cv,2010,31000,U$S,37000,Quilmes - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-911972379-bmw-135-bi-turbo-inmejorable-estado--_JM#position=23&search_layout=grid&type=item&tracking_id=7053c39e-55a8-43c4-b9dc-291bcd50cf7e,"1,75",135,i
Bmw Serie 3 2.5 325i Sedan Executive,2010,85000,U$S,13500,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-912279225-bmw-serie-3-25-325i-sedan-executive-2010-_JM#position=31&search_layout=grid&type=item&tracking_id=2efd035f-d4ad-444e-87c1-8ee227f64c03,"1,75",325,i
Bmw Serie 1 120 Sport Pack M 184 Cv,2017,36000,U$S,32000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-918611562-bmw-120-sport-184cv-pack-m-2017-_JM#position=27&search_layout=grid&type=item&tracking_id=9c8842f6-cf59-490f-a5e3-70b737e40dae,"1,75",,
Bmw Serie M 3.0 M4 560cv,2016,12000,U$S,96000,Berazategui - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-873088872-bmw-m4-coupe-negro-mate-2016-aa126-mer-_JM#position=45&search_layout=grid&type=item&tracking_id=3648eec4-7375-4ed0-ab83-8d61fdd78032,"1,75",,
Bmw Serie 2 3.0 240i M Package,2020,15000,U$S,77000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-921114679-bmw-serie-2-30-240i-m-package-2020-_JM#position=40&search_layout=grid&type=item&tracking_id=7103d3c5-4c94-43db-9a98-9b5ddb19e84b,"1,75",240,i
Bmw Serie M 3.0 M3 431cv,2020,9970,U$S,115900,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-910629185-bmw-serie-m-2020-30-m3-431cv-_JM#position=28&search_layout=grid&type=item&tracking_id=74f8fa62-043c-4006-9185-9ba5eef1423b,"1,75",,
Bmw Serie 1 120i Sport,2018,35000,U$S,33000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-915871829-bmw-serie-1-120i-sport-line-hoffen-_JM#position=19&search_layout=grid&type=item&tracking_id=e2282057-8367-416f-b289-b0fda0566144,"1,75",120,i
Bmw Serie 1 1.5 118i Active 136cv,2017,50000,U$S,23120,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-917925832-bmw-serie-1-15-118i-active-136cv-2017-_JM#position=14&search_layout=grid&type=item&tracking_id=7dd6d149-3a2d-4888-b147-a9def7759679,"1,74",118,i
Bmw Serie 1 2.5 135i Coupe Sportive 306cv,2010,36000,U$S,32000,San Miguel - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-920111243-bmw-135i-_JM#position=21&search_layout=grid&type=item&tracking_id=d23a9c2d-82c5-41b1-8a66-4e08081653f8,"1,74",135,i
Bmw Serie 1 2.0 118i Active 136cv,2010,120000,U$S,9612,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-915853683-bmw-serie-1-20-118i-active-136cv-2010-_JM#position=43&search_layout=grid&type=item&tracking_id=8a231528-a52f-4508-a2c2-753cf2074b02,"1,74",118,i
Bmw Serie 1 1.6 120i Active 177cv,2016,60000,U$S,19290,General San Martín - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-910403761-bmw-serie-1-16-120i-active-177cv-2016-_JM#position=19&search_layout=grid&type=item&tracking_id=bf6f843e-9ed1-47bb-92ee-eac67a3bc737,"1,74",120,i
Bmw Serie 3 2.0 320i Active,2004,210000,U$S,5483,Almirante Brown - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-914000996-bmw-serie-3-20-320i-active-2004-_JM#position=29&search_layout=grid&type=item&tracking_id=a6d33447-86f7-4808-901e-50358937623f,"1,74",320,i
Bmw Serie 3 2.5 325i Sedan Executive,2010,61000,U$S,19000,San Martín - Santa Fe,https://auto.mercadolibre.com.ar/MLA-921136588-bmw-325-i-_JM#position=43&search_layout=grid&type=item&tracking_id=e4cd9b26-c1c3-4b2b-a654-4787aa067e11,"1,73",325,i
Bmw Serie 4 2.0 430i Coupe Sportline 252cv,2017,22000,U$S,53000,Castelar - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-919434459-bmw-430i-coupe-sportline-2017-22000-km-car-cash-_JM#position=4&search_layout=grid&type=item&tracking_id=6bfc6833-d49d-4746-947d-95813794a62f,"1,73",430,i
Bmw Serie 3 3.0 330i Sedan Sport Line 252cv,2018,26000,U$S,44900,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-913044774-bmw-330i-30-sport-line-2018-_JM#position=22&search_layout=grid&type=item&tracking_id=e2282057-8367-416f-b289-b0fda0566144,"1,73",330,i
Bmw Serie 3 2.5 325i Selective,2002,180000,U$S,6451,Lanús - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-814560225-bmw-serie-3-25-325i-selective-_JM#position=41&search_layout=grid&type=item&tracking_id=8d214433-6522-4e23-bb95-d9a6c29bab0d,"1,72",325,i
Bmw Serie 1 1.5 118i Sport Line 136cv,2017,45000,U$S,26000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-913421603-bmw-serie-1-15-118i-sport-line-136cv-2017-_JM#position=40&search_layout=grid&type=item&tracking_id=e22ca731-c96c-4070-b63d-ebc99635b37e,"1,72",118,i
Bmw Serie 3 2.0 320i Active,2001,180000,U$S,6451,Moreno - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-918673860-bmw-serie-3-20-320i-active-2001-_JM#position=45&search_layout=grid&type=item&tracking_id=e22ca731-c96c-4070-b63d-ebc99635b37e,"1,72",320,i
Bmw Serie 3 3.0 330i Executive,2001,125000,U$S,9300,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-906414866-bmw-330i-executive-_JM#position=35&search_layout=grid&type=item&tracking_id=2efd035f-d4ad-444e-87c1-8ee227f64c03,"1,72",330,i
Bmw Serie 3 328 I,1998,200000,U$S,5806,Lanús - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-919432773-bmw-serie-3-328-i-_JM#position=17&search_layout=grid&type=item&tracking_id=588cfcd6-e721-471f-982b-d86e5dbdacf6,"1,72",,
Bmw Serie 3 2.0 320i Sedan Executive,2017,35000,U$S,33500,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-918208129-bmw-320i-20-2017-aut-gris-primera-mano-service-oficiales-_JM#position=25&search_layout=grid&type=item&tracking_id=19b07596-d960-4b1a-a621-a08303f73e73,"1,72",320,i
Bmw Serie 1 1.5 118i Active 136cv,2017,52000,U$S,22580,Godoy Cruz - Mendoza,https://auto.mercadolibre.com.ar/MLA-916550019-bmw-serie-1-15-118i-active-136cv-2017-_JM#position=13&search_layout=grid&type=item&tracking_id=a6d33447-86f7-4808-901e-50358937623f,"1,72",118,i
Bmw Serie 1 1.6 120i Sport Line 177cv,2016,50000,U$S,23500,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-914583051-bmw-serie-1-16-120i-sport-line-177cv-2016-_JM#position=37&search_layout=grid&type=item&tracking_id=7dd6d149-3a2d-4888-b147-a9def7759679,"1,72",120,i
Bmw X1 2.0 Sdrive 20i Active 184cv,2013,50000,U$S,23500,Mar del Plata - Bs.As. Costa Atlántica,https://auto.mercadolibre.com.ar/MLA-920097032-bmw-x1-20-sdrive-20i-active-184cv-2013-_JM#position=11&search_layout=grid&type=item&tracking_id=7053c39e-55a8-43c4-b9dc-291bcd50cf7e,"1,71",,
Bmw Serie 2 2.0 220i Sport Line 184cv,2017,35000,U$S,33700,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-914161182-bmw-serie-2-20-220i-sport-line-184cv-2017-_JM#position=40&search_layout=grid&type=item&tracking_id=19b07596-d960-4b1a-a621-a08303f73e73,"1,71",220,i
Bmw Serie 3 2.5 323i Sportive,2007,104800,U$S,11200,Ituzaingó - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-919434005-bmw-serie-3-25-323i-sportive-2007-_JM#position=26&search_layout=grid&type=item&tracking_id=4238591b-075d-43a4-9bd1-23b4a8c6381c,"1,71",323,i
Bmw Serie 1 2.0 120i Active 156cv,2009,114000,U$S,10322,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-919697363-bmw-120i-_JM#position=3&search_layout=grid&type=item&tracking_id=8a231528-a52f-4508-a2c2-753cf2074b02,"1,71",120,i
Bmw Serie 5 2.8 528i Executive At,1998,191000,U$S,6129,Almirante Brown - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-919407982-bmw-serie-5-28-528i-executive-at-1998-_JM#position=24&search_layout=grid&type=item&tracking_id=d23a9c2d-82c5-41b1-8a66-4e08081653f8,"1,71",528,i
Bmw Serie 3 2.0 320i Sedan 184cv,2013,40000,U$S,29500,Moreno - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-917699910-bmw-serie-3-320i-automatico-twinturbo-_JM#position=29&search_layout=grid&type=item&tracking_id=4238591b-075d-43a4-9bd1-23b4a8c6381c,"1,71",320,i
Bmw Serie 1 1.5 118i Active 136cv,2018,46400,U$S,25500,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-920643765-bmw-serie-1-15-118i-active-136cv-2018-_JM#position=46&search_layout=grid&type=item&tracking_id=a6f453cd-dd26-4b8c-870b-35f919415720,"1,71",118,i
Bmw Serie 3 2.0 320i Sedan 184cv,2013,55000,U$S,21500,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-913671982-bmw-320i-_JM#position=41&search_layout=grid&type=item&tracking_id=eb64105c-d94b-4307-a60a-5426e290f636,"1,70",320,i
Bmw Serie 4 2.0 428i Sport 245cv,2016,33000,U$S,35900,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-920043893-bmw-serie-4-428i-coupe-2016-33000-kms-_JM#position=17&search_layout=grid&type=item&tracking_id=8c8e1f60-78a3-4a46-b6a6-41a3f870cd9e,"1,70",428,i
Bmw Serie 3 1.6 316 Ti Compact Active,2001,170500,U$S,6900,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-918346311-bmw-serie-3-16-316-ti-compact-active-2001-_JM#position=11&search_layout=grid&type=item&tracking_id=21213f76-38ed-451e-8523-06fee6ba6f3a,"1,70",,
Bmw X1 2.0 D Sportdrive 4wd,2010,60000,U$S,19741,Rawson - Chubut,https://auto.mercadolibre.com.ar/MLA-897113370-bmw-x1-20-d-sportdrive-4wd-2010-_JM#position=23&search_layout=grid&type=item&tracking_id=0bc28108-d04c-4f57-b68f-c1564036a831,"1,70",,
Bmw Serie 3 2.0 328i Sedán Sport 245cv,2016,35000,U$S,34000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-915486010-bmw-serie-3-20-328i-sedan-sport-aut-245cv-estado-lujoso-_JM#position=37&search_layout=grid&type=item&tracking_id=71056db2-c4a2-450a-bc98-7ecd0fd27254,"1,69",328,i
Bmw Serie 1 1.6 120i Sport Line 177cv,2016,45000,U$S,26500,Quilmes - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-876207399-bmw-serie-1-16-120i-sport-line-177cv-2016-_JM#position=46&search_layout=grid&type=item&tracking_id=0bc28108-d04c-4f57-b68f-c1564036a831,"1,69",120,i
Bmw Serie 3 2.0 328i At,1999,193000,U$S,6129,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-920105749-bmw-328i-muy-bueno-automatico-permuto-_JM#position=21&search_layout=grid&type=item&tracking_id=e7b70bfe-b7d8-435d-87f2-427a89e0b48b,"1,69",328,i
Bmw Serie 1 135i Automatica,2011,34000,U$S,35000,Avellaneda - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-915844967-bmw-135i-automatica-ano-2011-color-blanco-todoautos-_JM#position=15&search_layout=grid&type=item&tracking_id=0bc28108-d04c-4f57-b68f-c1564036a831,"1,69",135,i
Bmw Serie 3 2.5 323i Executive,2006,90000,U$S,13200,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-921415563-bmw-serie-3-25-323i-executive-2006-_JM#position=6&search_layout=grid&type=item&tracking_id=39b9ccd9-17cd-4e67-bf9b-d56348919f12,"1,69",323,i
Bmw Serie 3 2.5 325i Sedan Executive,2010,80000,U$S,14900,Zárate - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-920843248-bmw-serie-3-25-325i-sedan-executive-2010-_JM#position=6&search_layout=grid&type=item&tracking_id=21213f76-38ed-451e-8523-06fee6ba6f3a,"1,69",325,i
Bmw X1 2.0 Sdrive 25i Xline 231cv,2017,30000,U$S,40000,San Nicolás - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-882185392-bmw-x1-20-sdrive-25i-xline-231cv-2017-_JM#position=23&search_layout=grid&type=item&tracking_id=162cb925-6f36-4bac-a5bf-71f7530dc408,"1,68",,
Bmw Serie 1 2.0 120i Active,2006,148000,U$S,8064,General San Martín - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-918645891-bmw-120-i-ctecho-caja-manual-tomo-auto-moto-financio-cdni-_JM#position=34&search_layout=grid&type=item&tracking_id=170d3f83-75bf-4ac6-a8de-6804cea4eee0,"1,68",120,i
Bmw Serie 1 2.0 120i Coupe Active 156cv,2012,82000,U$S,14600,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-916129677-bmw-serie-1-20-120i-coupe-active-156cv-2012-_JM#position=2&search_layout=grid&type=item&tracking_id=9c8842f6-cf59-490f-a5e3-70b737e40dae,"1,68",120,i
Bmw Serie 3 2.5 325i Coupe Executive Stept,2011,63000,U$S,19000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-919268769-bmw-325i-excecutive-coupe-_JM#position=3&search_layout=grid&type=item&tracking_id=1b4788cb-3de7-41d9-b1b8-706253351827,"1,68",325,i
Bmw Serie 3 2.5 325i Sedan Executive,2010,88500,U$S,13548,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-919715025-bmw-325i-_JM#position=9&search_layout=grid&type=item&tracking_id=fb8742ea-fdfa-4447-b6b8-63e728ce897e,"1,68",325,i
Bmw Serie 5 2.8 528i Executive At,1998,198900,U$S,6000,General San Martín - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-920861965-bmw-serie-5-28-528i-executive-at-1998-_JM#position=47&search_layout=grid&type=item&tracking_id=9c8842f6-cf59-490f-a5e3-70b737e40dae,"1,67",528,i
Bmw Serie 3 2.0 328i Executive At,1999,104000,U$S,11500,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-921941222-bmw-serie-3-20-328i-executive-at-1999-_JM#position=9&search_layout=grid&type=item&tracking_id=e4cd9b26-c1c3-4b2b-a654-4787aa067e11,"1,67",328,i
Bmw Serie 3 2.0 318i Sedan Executive 136cv,2011,86000,U$S,13999,Almirante Brown - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-913934410-bmw-serie-3-20-318i-sedan-executive-136cv-_JM#position=38&search_layout=grid&type=item&tracking_id=8c8e1f60-78a3-4a46-b6a6-41a3f870cd9e,"1,67",318,i
Bmw Serie 1 1.5 118i Sport Line 136cv,2018,38000,U$S,31800,San Fernando - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-919414502-bmw-118-i-sport-_JM#position=33&search_layout=grid&type=item&tracking_id=6bfc6833-d49d-4746-947d-95813794a62f,"1,67",118,i
Bmw Serie 3 3.0 330i Sedan Sport Line 252cv,2018,29500,U$S,40967,Guaymallén - Mendoza,https://auto.mercadolibre.com.ar/MLA-917106232-bmw-serie-3-30-330i-sedan-sport-line-252cv-2018-_JM#position=31&search_layout=grid&type=item&tracking_id=7dd6d149-3a2d-4888-b147-a9def7759679,"1,67",330,i
Bmw Serie 3 2.0 320i Active,2006,149000,U$S,8064,Berazategui - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-919457202-bmw-320i-impecable-_JM#position=30&search_layout=grid&type=item&tracking_id=21213f76-38ed-451e-8523-06fee6ba6f3a,"1,67",320,i
Bmw Serie 1 1.6 120i M Package 177cv,2017,47000,U$S,25741,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-913254027-bmw-serie-1-2017-16-120i-m-package-177cv-_JM#position=48&search_layout=grid&type=item&tracking_id=8d214433-6522-4e23-bb95-d9a6c29bab0d,"1,67",120,i
Bmw Serie 1 1.6 118i Sport 170cv,2012,72000,U$S,16774,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-911975573-bmw-serie-1-16-118i-sport-170cv-2012-_JM#position=32&search_layout=grid&type=item&tracking_id=8a231528-a52f-4508-a2c2-753cf2074b02,"1,67",118,i
Bmw Serie 3 2.0 320i Sedan 184cv,2013,41000,U$S,29500,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-912059523-bmw-320i-executive-aut-8va-2013-_JM#position=40&search_layout=grid&type=item&tracking_id=170d3f83-75bf-4ac6-a8de-6804cea4eee0,"1,66",320,i
Bmw Serie 3 328 Coupe,1997,139600,U$S,8600,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-921374835-bmw-serie-3-28-328-coupe-_JM#position=46&search_layout=grid&type=item&tracking_id=7103d3c5-4c94-43db-9a98-9b5ddb19e84b,"1,66",,
Bmw Serie 3 1.8 318ti Compact,1998,207200,U$S,5800,Ituzaingó - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-914514328-bmw-serie-3-18-318ti-compact-1998-_JM#position=45&search_layout=grid&type=item&tracking_id=170d3f83-75bf-4ac6-a8de-6804cea4eee0,"1,66",,
Bmw Serie 1 M140i,2017,27000,U$S,45000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-919597228-bmw-m140i-2017-solo-27000-kms-_JM#position=30&search_layout=grid&type=item&tracking_id=7053c39e-55a8-43c4-b9dc-291bcd50cf7e,"1,66",140,i
Bmw Serie 1 2.0 120i Active 156cv,2008,110000,U$S,11000,Tres de febrero - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-919178664-bmw-serie-1-20-120i-active-156cv-2008-_JM#position=43&search_layout=grid&type=item&tracking_id=21213f76-38ed-451e-8523-06fee6ba6f3a,"1,66",120,i
Bmw Serie 1 2.0 120i Active 156cv,2009,126000,U$S,9612,San Miguel - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-915093076-bmw-120i-active-_JM#position=45&search_layout=grid&type=item&tracking_id=4238591b-075d-43a4-9bd1-23b4a8c6381c,"1,66",120,i
Bmw Serie 1 2.0 120d Active,2006,150000,U$S,8064,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-916243631-bmw-serie-1-20-120d-active-2006-_JM#position=33&search_layout=grid&type=item&tracking_id=fb8742ea-fdfa-4447-b6b8-63e728ce897e,"1,66",120,d
Bmw Z4 2.5 Sdrive23i 204cv,2012,27000,U$S,45000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-921401329-bmw-z4-_JM#position=32&search_layout=grid&type=item&tracking_id=e2282057-8367-416f-b289-b0fda0566144,"1,66",,
Bmw Serie 1 2.0 120i Active 156cv,2009,157000,U$S,7741,Pinamar - Bs.As. Costa Atlántica,https://auto.mercadolibre.com.ar/MLA-916815145-bmw-serie-1-120i-_JM#position=29&search_layout=grid&type=item&tracking_id=71056db2-c4a2-450a-bc98-7ecd0fd27254,"1,65",120,i
Bmw Serie 3 3.0 335i Coupe Sportive At 306cv,2012,42000,U$S,29000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-913264514-bmw-serie-3-30-335i-coupe-sportive-at-306cv-2012-_JM#position=6&search_layout=grid&type=item&tracking_id=162cb925-6f36-4bac-a5bf-71f7530dc408,"1,65",335,i
Bmw Serie 1 125i Sport 240cv,2016,47000,U$S,26000,Berazategui - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-917276916-bmw-125i-sport-20-240cv-2016-47000km-excelente-estado-_JM#position=10&search_layout=grid&type=item&tracking_id=7ecbb697-c145-4310-8af8-de91e0849cd2,"1,65",125,i
Bmw Serie 5 3.0 530i Executive Stept,2006,130000,U$S,9354,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-920008341-bmw-serie-5-30-530i-executive-stept-_JM#position=1&search_layout=grid&type=item&tracking_id=2efd035f-d4ad-444e-87c1-8ee227f64c03,"1,65",530,i
Bmw Serie 3 2.5 323i Executive,2007,126000,U$S,9677,Las Colonias - Santa Fe,https://auto.mercadolibre.com.ar/MLA-916819483-bmw-serie-3-25-323i-executive-2007-_JM#position=13&search_layout=grid&type=item&tracking_id=21213f76-38ed-451e-8523-06fee6ba6f3a,"1,65",323,i
Bmw Serie 1 1.6 116i Active,2008,144000,U$S,8500,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-920742588-bmw-serie-1-16-116i-active-2008-_JM#position=12&search_layout=grid&type=item&tracking_id=7ecbb697-c145-4310-8af8-de91e0849cd2,"1,64",116,i
Bmw Serie 3 2.0 320i Active,2005,190000,U$S,6451,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-914140407-bmw-serie-3-20-320i-active-2005-_JM#position=16&search_layout=grid&type=item&tracking_id=ec3dd237-0871-42cc-9a25-3deed57b2575,"1,64",320,i
Bmw Serie M 3.0 M3 431cv,2017,13000,U$S,95000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-910986366-bmw-serie-m-30-m3-431cv-2017-_JM#position=47&search_layout=grid&type=item&tracking_id=162cb925-6f36-4bac-a5bf-71f7530dc408,"1,63",,
Bmw Serie 3 3.0 335i Sedan M Sport Biturbo,2008,60000,U$S,20500,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-919764335-bmw-serie-3-30-335i-sedan-m-sport-biturbo-2008-_JM#position=27&search_layout=grid&type=item&tracking_id=e7b70bfe-b7d8-435d-87f2-427a89e0b48b,"1,63",335,i
Bmw Serie 3 2.0 328i Sedán Sport 245cv,2014,43500,U$S,28500,Moreno - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-917438767-bmw-serie-3-20-328i-sedan-sport-245cv-_JM#position=22&search_layout=grid&type=item&tracking_id=ec3dd237-0871-42cc-9a25-3deed57b2575,"1,62",328,i
Bmw Serie 1 1.5 118i Sport Line 136cv,2017,46000,U$S,27000,San Francisco - Córdoba,https://auto.mercadolibre.com.ar/MLA-902076285-bmw-serie-1-15-118i-sport-line-136cv-2017-_JM#position=10&search_layout=grid&type=item&tracking_id=1b4788cb-3de7-41d9-b1b8-706253351827,"1,62",118,i
Bmw Serie 3 2.5 323i Sedan Active,2009,125000,U$S,9900,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-919801910-bmw-serie-3-25-323i-sedan-active-2009-_JM#position=18&search_layout=grid&type=item&tracking_id=e2282057-8367-416f-b289-b0fda0566144,"1,62",323,i
Bmw Serie 1 1.6 116i 136cv,2013,84000,U$S,14774,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-919982502-bmw-116-i-_JM#position=7&search_layout=grid&type=item&tracking_id=ea20ac11-1fd8-4659-96ad-a4eed4f81135,"1,62",116,i
Bmw Serie 1 1.6 120i M Package 177cv,2017,43000,U$S,29000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-918163870-bmw-120i-sport-pack-m-_JM#position=48&search_layout=grid&type=item&tracking_id=33b4574d-1630-47d4-a95d-b6395e4372b8,"1,62",120,i
Bmw Serie 2 3.0 M235i 325cv,2015,29000,U$S,43000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-919422483-bmw-serie-m235i-325cv-2015-roma-cars-_JM#position=26&search_layout=grid&type=item&tracking_id=170d3f83-75bf-4ac6-a8de-6804cea4eee0,"1,62",235,i
Bmw X4 2.0 Xdrive 28i Xline 245cv,2017,25000,U$S,50000,Neuquén - Neuquén,https://auto.mercadolibre.com.ar/MLA-920833450-bmw-x4-20-xdrive-28i-xline-245cv-2017-_JM#position=17&search_layout=grid&type=item&tracking_id=fb8742ea-fdfa-4447-b6b8-63e728ce897e,"1,61",,
Bmw Serie 3 2.0 320i Sedan Executive,2017,38000,U$S,32900,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-886088456-bmw-320-_JM#position=15&search_layout=grid&type=item&tracking_id=4c7d1cd4-42b3-4cc2-95c5-2d8ecca0f372,"1,61",320,i
Bmw Serie 1 2.0 120i Active 156cv,2008,117000,U$S,10645,Río Cuarto - Córdoba,https://auto.mercadolibre.com.ar/MLA-912288153-bmw-serie-1-20-120i-active-156cv-2008-_JM#position=38&search_layout=grid&type=item&tracking_id=8d214433-6522-4e23-bb95-d9a6c29bab0d,"1,61",120,i
Bmw Serie 3 2.5 325i Sedan Executive,2010,63000,U$S,19800,Arrecifes - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-883713711-bmw-325i25sedan-executive2010-_JM#position=3&search_layout=grid&type=item&tracking_id=60b6d52f-3f76-4539-85a0-b29f08279192,"1,61",325,i
Bmw Serie 3 2.5 325i Sedan,1995,240000,U$S,5161,Avellaneda - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-913493442-bmw-serie-3-25-325i-sedan-1995-_JM#position=2&search_layout=grid&type=item&tracking_id=2efd035f-d4ad-444e-87c1-8ee227f64c03,"1,61",325,i
