title,year,km,currency,price,location,link,ratio
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2013,71000,U$S,7419,Lanús - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-920066782-ford-fiesta-kinetic-design-16-design-120cv-titanium-_JM#position=19&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,3.821554478508739
Ford Fiesta Powershift Titanium,2016,60000,U$S,8064,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-919046274-ford-fiesta-powershift-titanium-_JM#position=20&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,4.166666666666667
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2012,72000,U$S,6387,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-918419349-ford-fiesta-kinetic-design-16-titanium-ano-2012-unico-_JM#position=21&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,4.375206582815789
Ford Fiesta Kinetic Design 1.6 Design Sedan 120cv Trend Plus,2013,92000,U$S,5741,Moreno - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-921555081-ford-fiesta-kinetic-design-16-design-sedan-120cv-trend-plus-_JM#position=22&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,3.8112584536855416
Ford Fiesta Kinetic Design 1.6 S Plus 120cv,2014,64500,U$S,7032,Almirante Brown - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-921235434-ford-fiesta-kinetic-design-16-s-120cv-_JM#position=23&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,4.440387685089646
Ford Fiesta Kinetic Design 1.6 Se 120cv,2019,28000,U$S,10774,Lanús - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-916097449-ford-fiesta-kinetic-design-16-se-120cv-_JM#position=24&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,6.692699355591503
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2015,65000,U$S,9032,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-921224298-ford-fiesta-kinetic-design-16-design-120cv-titanium-2015-_JM#position=25&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,3.4322409211691762
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2013,19200,U$S,8258,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-916991984-ford-fiesta-kinetic-design-16-design-120cv-titanium-2013-_JM#position=26&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,12.696022039234682
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2015,86000,U$S,9032,Bahía Blanca - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-916939075-ford-fiesta-kinetic-design-16-design-120cv-titanium-2015-_JM#position=27&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,2.594135579953447
Ford Fiesta Kinetic Design 1.6 S 120cv,2016,42000,U$S,7419,Ituzaingó - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-916436598-impecable-ford-fiesta-16l-s-ano-2016-con-solo-42000-km--_JM#position=28&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,6.46987464617873
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2013,65700,U$S,7967,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-920278754-ford-fiesta-kinetic-design-_JM#position=29&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,3.8457724873092376
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2013,155000,U$S,6774,San Fernando - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-916112553-ford-fiesta-kd-16-titanium-mexicano-120cv-hatchback-5p-_JM#position=30&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,1.9171976342181205
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2014,75825,U$S,8387,General Pedernera - San Luis,https://auto.mercadolibre.com.ar/MLA-919786606-ford-fiesta-kinetic-design-16-design-120cv-titanium-2014-_JM#position=31&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,3.1669441477399887
Ford Fiesta Kinetic Design 1.6 Se 120cv,2015,76000,U$S,7419,Zárate - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-919363574-ford-fiesta-kinetic-design-16-se-120cv-2015-_JM#position=32&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,3.5736835011102364
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2013,87000,U$S,5935,Ensenada - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-918077456-ford-fiesta-kinetic-titanium-_JM#position=33&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,3.898556197890945
Ford Fiesta Kinetic Design 1.6 Se 120cv,2014,70000,U$S,6774,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-918652578-ford-fiesta-kinetic-design-16-se-120cv-_JM#position=34&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,4.247332236703361
Ford Fiesta Kinetic Design 1.6 Se Plus Powershift 120cv,2018,18000,U$S,11935,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-919180529-ford-fiesta-kinetic-design-16-se-plus-powershift-120cv-2018-_JM#position=35&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,9.393473909602942
Ford Fiesta Kinetic Design 1.6 S,2018,42000,U$S,8516,Castelar - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-916819260-ford-fiesta-16l-s-_JM#position=36&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,5.642040752421212
Ford Fiesta Kinetic Design 1.6 Sedan Titanium 120cv,2017,36000,U$S,10967,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-915176602-ford-fiesta-kinetic-design-16-sedan-titanium-120cv-2017-_JM#position=37&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,5.108760625310274
Ford Fiesta Kinetic Design 1.6 Se Powershift 120cv,2017,40000,U$S,8903,Lanús - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-918464512-ford-fiesta-kinetic-design-16-se-powershift-120cv-2017-_JM#position=38&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,5.663821183870605
Ford Fiesta Kinetic Design 1.6 Design 120cv Titanium,2011,96000,U$S,5806,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-916311990-ford-fiesta-kinetic-2011-_JM#position=39&search_layout=grid&type=item&tracking_id=124eae84-f209-4cb7-a2e2-09a297a25f8c,3.6079773797221266
