title,year,km,currency,price,location,link,ratio
Chevrolet Sonic 1.6 Ltz Mt Mx,2015,52000,U$S,7225,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-915797148-chevrolet-sonic-16-ltz-mt-mx-2015-_JM#position=20&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,5.3633217993079585
Chevrolet Sonic 1.6 Ltz Mt,2014,73000,U$S,6774,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-916152897-chevrolet-sonic-16-ltz-mt-2014-_JM#position=21&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,4.072784336564867
Chevrolet Sonic 1.6 Lt,2012,106000,U$S,5090,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-918667120-chevrolet-sonic-16-lt-2012-_JM#position=22&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.7291025688549504
Chevrolet Sonic 1.6 Ltz Mt,2014,105607,U$S,7419,Caseros - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-916830215-chevrolet-sonic-16-ltz-mt-_JM#position=23&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,2.5705223804222186
Chevrolet Sonic 1.6 Ltz Mt,2013,108000,U$S,5806,Merlo - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-920927766-chevrolet-sonic-16-ltz-mt-2013-_JM#position=24&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.210280552684962
Chevrolet Sonic 1.6 Ltz 5 P Manual,2012,90000,U$S,5161,Caseros - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-919739160-chevrolet-sonic-2012-16-ltz-5-p-manual-_JM#position=25&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,4.331632543219445
Chevrolet Sonic 1.6 Ltz 5 P Manual,2012,142000,U$S,5096,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-914672308-chevrolet-sonic-2012-16-ltz-5-p-manual-_JM#position=26&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,2.7804187763946313
Chevrolet Sonic 1.6 Lt Mx 4 P,2016,37580,U$S,7096,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-918113894-chevrolet-sonic-16-lt-mx-4-p-2016-_JM#position=27&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,7.559971272109166
Chevrolet Sonic 1.6 Lt Mx 4 P,2014,84000,U$S,6774,Pergamino - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-914872628-chevrolet-sonic-lt-2014-84000km-_JM#position=28&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.5394435305861345
Chevrolet Sonic 1.6 Ltz Mx,2015,47000,U$S,8064,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-917009326-chevrolet-sonic-16-ltz-mx-_JM#position=29&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,5.316510469436001
Chevrolet Sonic 1.6 Ltz 5 P,2016,122000,U$S,6774,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-916807515-chevrolet-sonic-16-ltz-5-p-2016-_JM#position=30&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,2.439413959836792
Chevrolet Sonic 1.6 Lt Mx 5 P,2014,147000,U$S,6129,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-919023271-chevrolet-sonic-16-lt-mx-5-p-2014-_JM#position=31&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,2.2353859148488895
Chevrolet Sonic 1.6 Ltz Mt,2013,39620,U$S,6322,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-919148154-chevrolet-sonic-16-ltz-mt-189485-c-_JM#position=32&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,8.036645506560985
Chevrolet Sonic 1.6 Ltz Mt,2013,104800,U$S,6129,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-918676596-chevrolet-sonic-16-ltz-mt-_JM#position=33&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.133955827569844
Chevrolet Sonic 1.6 Ltz Mt Mx,2016,82800,U$S,7483,Morón - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-917306871-chevrolet-sonic-16-ltz-mt-mx-_JM#position=34&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.2537519827551145
Chevrolet Sonic 1.6 Lt,2013,126000,U$S,5354,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-906278623-chevrolet-sonic-16-lt-2013-permuto-financio-_JM#position=35&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,2.9839728196097264
Chevrolet Sonic 1.6 Lt,2013,81000,U$S,5483,Mercedes - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-909251975-chevrolet-sonic-16-lt-2013-_JM#position=36&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,4.5325281509852005
Chevrolet Sonic 1.6 Lt,2014,78000,U$S,4419,Avellaneda - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-912633217-chevrolet-sonic-lt-_JM#position=37&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,5.843066942863277
Chevrolet Sonic 1.6 Ltz Mt Mx,2015,74000,U$S,7354,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-913949805-chevrolet-sonic-ltz-cgnc-4-puertas-tute-cars-_JM#position=38&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.702710052995612
Chevrolet Sonic 1.6 Ltz At Mx 4 P,2015,109185,U$S,5741,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-911291659-chevrolet-sonic-16-ltz-at-mx-4-p-2015-_JM#position=39&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.214582123029205
Chevrolet Sonic Ltz,2015,81000,U$S,6774,Lanús - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-920775217-chevrolet-sonic-ltz-16-2015-di-buono-_JM#position=40&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.672356541168666
Chevrolet Sonic 1.6 Ltz Mt Mx,2016,30700,U$S,8322,Lanús - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-919160605-chevrolet-sonic-16-ltz-mt-mx-_JM#position=41&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,7.8908618652964115
Chevrolet Sonic 1.6 Lt,2013,116000,U$S,3548,Avellaneda - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-920035165-chevrolet-sonic-lt-_JM#position=42&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,4.891050810558644
Chevrolet Sonic 1.6 Ltz,2012,130000,U$S,5806,Lanús - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-904945484-chevrolet-sonic-16-ltz-2012-_JM#position=43&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,2.6656774159357695
Chevrolet Sonic 1.6 Ltz 5 P,2016,31000,U$S,8709,Almirante Brown - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-920152854-chevrolet-sonic-16-ltz-mt-mx-manual-mod-16-automotores-sant-_JM#position=44&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,7.467247452579645
Chevrolet Sonic 1.6 Ltz 4 P,2016,119000,U$S,6967,Berazategui - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-915052705-chevrolet-sonic-ltz-_JM#position=45&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,2.4316314727412425
Chevrolet Sonic 1.6 Lt Mx 5 P,2015,98000,U$S,6193,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-915675595-chevrolet-sonic-_JM#position=46&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,3.3200750023891357
Chevrolet Sonic 1.6 Lt,2016,45000,U$S,5161,Berazategui - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-920512427-chevrolet-sonic-lt-2016-_JM#position=47&search_layout=grid&type=item&tracking_id=0fa1270f-e87b-4a09-882f-7101eb547a84,8.680488277465608
