title,year,km,currency,price,location,link,ratio,brand,model
Fiat Cronos 1.8 16v Precision At6 Pack Premium,2020,6000,U$S,11271,Córdoba,https://auto.mercadolibre.com.ar/MLA-924216286-fiat-cronos-18-16v-precision-at6-pack-premium-solo-6000km-_JM#position=19&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,29.87016827847278,Fiat,Cronos
Peugeot 408 1.6 Allure Hdi 115cv,2011,164000,U$S,6358,Córdoba,https://auto.mercadolibre.com.ar/MLA-919630437-peugeot-408-16-allure-hdi-115cv-2011-_JM#position=20&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,1.9286245866548002,Peugeot,408
Volkswagen Vento 2.0 Sportline Tsi 200cv Dsg,2011,120000,U$S,10000,Córdoba,https://auto.mercadolibre.com.ar/MLA-918750094-volkswagen-vento-20-sportline-tsi-200cv-dsg-2011-_JM#position=21&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,1.6758333333333333,Volkswagen,Vento
Toyota Corolla 1.8 Xei Mt Pack 140cv,2014,100000,U$S,7514,Córdoba,https://auto.mercadolibre.com.ar/MLA-921486521-toyota-corolla-18-xei-mt-pack-140cv-2014-_JM#position=22&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,2.680330050572265,Toyota,Corolla
Volkswagen Vento 1.4 Comfortline 150cv At,2017,61000,U$S,13005,Córdoba,https://auto.mercadolibre.com.ar/MLA-922702762-volkswagen-vento-2017-14-comfortline-150cv-at-_JM#position=23&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,2.542527779353464,Volkswagen,Vento
Fiat Siena 1.4 El My 2015,2015,149500,U$S,5000,Jardín - Córdoba,https://auto.mercadolibre.com.ar/MLA-925433028-fiat-siena-el-14-gnc-_JM#position=24&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,2.6956521739130435,Fiat,Siena
Toyota Corolla 1.8 Xei Mt Pack 140cv,2014,70000,U$S,9421,Miguel Muñoz - Villa Carlos Paz,https://auto.mercadolibre.com.ar/MLA-924532539-vendo-toyota-corolla-2014-70000-km-impecable-_JM#position=25&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,3.053967580026385,Toyota,Corolla
Ford Focus Iii 2.0 Sedan Se Plus Mt,2016,69000,U$S,9768,Parque Jorge Newbery - Córdoba,https://auto.mercadolibre.com.ar/MLA-923415491-ford-focus-iii-20-se-plus-mt-4-puertas-mod-2016-_JM#position=26&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,2.9911334259160345,Ford,Focus
Volkswagen Vento 2.0 Sportline Tsi 200cv,2011,150000,U$S,9190,Los Paraísos - Córdoba,https://auto.mercadolibre.com.ar/MLA-923155490-vento-20-tsi-sportline-2011-manual-_JM#position=27&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,1.4588320638375045,Volkswagen,Vento
Toyota Corolla 1.8 Xli Cvt 140cv,2017,67000,U$S,12080,Córdoba,https://auto.mercadolibre.com.ar/MLA-922422415-toyota-corolla-2017-18-xli-cvt-140cv-unico-dueno-_JM#position=28&search_layout=grid&type=item&tracking_id=d093c2f2-e43e-4c89-a67a-667488de38e0,2.4920925175447266,Toyota,Corolla
